AFO_MN;AFU_MN_1_1;AFU_MN_2_1;AFU_MN_3_1;AFU_MN_4_1;AFU_MN_5_1;AFU_MN_6_1;AFU_MN_7_1;AFU_MN_8_1;AFU_MN_8_2
;;;;;;;;;
;-11;-10;-9;15;-31;22;79;2;2
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-10;-3;-5;6;11;8;58;2;0
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;-11;-12;-13;-11;23;-9;48;5;0
1;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-10;-10;-10;-10;50;-50;100;5;0
;;;;;;;;;
;-30;-9;-20;-28;42;-50;82;5;0
;-35;50;-18;-22;48;-22;17;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;23;-17;6;8;-12;-16;89;5;0
;;;;;;;;;
2;;;;;;;;;
;-25;-20;-23;-25;50;-20;41;10;30
1;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-27;21;-30;-30;-50;-50;80;5;0
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-20;50;-20;-20;50;-20;50;15;0
;-7;-9;-3;-1;27;-9;91;5;0
2;;;;;;;;;
;-11;-10;-11;-12;13;-28;70;1;0
1;;;;;;;;;
1;;;;;;;;;
;-30;-10;-25;-40;45;-40;10;4;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;30;16;23;22;15;30;73;2;2
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;-30;44;-35;-50;50;-50;75;3;0
;-28;-11;-29;-39;36;-39;76;5;0
;;;;;;;;;
;;;;;;;;;
;-20;-20;-20;-20;50;-50;10;5;0
;-35;-21;-28;-43;49;-40;78;3;30
;-20;-20;-5;-20;50;-50;75;5;0
;-12;-13;-15;-16;46;-15;26;1;30
;-25;-25;-25;-25;50;-50;75;4;0
;-12;-2;-4;-9;48;-36;84;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-26;-7;0;0;47;-4;75;15;0
;;;;;;;;;
;-11;-28;-16;-9;45;-21;73;2;30
;-20;-15;-24;-35;35;-30;78;5;0
;;;;;;;;;
;-5;30;-5;-10;30;-15;45;0;0
;;;;;;;;;
;;;;;;;;;
;12;-12;8;16;7;20;41;10;0
;-18;-10;-18;-25;40;-40;60;4;29
;;;;;;;;;
2;;;;;;;;;
;-4;-5;-11;0;47;-8;75;3;0
;-34;-17;-16;-39;50;-50;100;4;44
;-20;-5;-15;-15;31;-50;30;2;0
;-20;-5;-10;-25;40;-40;50;10;0
;;;;;;;;;
;-7;17;-6;-8;36;-26;93;10;0
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-40;-15;-30;-35;30;-45;75;1;0
2;;;;;;;;;
;;;;;;;;;
;-2;-1;-2;-2;20;-30;100;2;30
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-24;-33;-30;-25;-17;-30;55;20;0
;-20;-10;-15;-20;5;-25;55;2;0
;;;;;;;;;
;-18;-10;-16;-24;14;-13;62;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-34;-19;-27;-18;0;-49;74;0;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-25;-10;-20;-29;35;-50;80;1;30
;;;;;;;;;
;-22;-2;-11;-32;31;-18;68;2;0
;-20;-9;-20;-31;20;20;15;2;10
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;17;11;9;-11;-13;-19;41;23;2
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-45;7;-13;-31;29;22;81;4;0
;-15;-9;-17;-19;19;-26;88;10;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;1;-18;-9;-12;24;-7;17;15;0
;;;;;;;;;
;-3;-3;-3;-3;10;-40;70;4;5
;;;;;;;;;
;;;;;;;;;
;-20;-20;-15;-10;50;-30;45;5;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-40;-5;-10;-10;30;-40;40;5;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-26;-16;-20;-17;46;-22;38;5;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-20;-30;-34;-40;40;-40;70;15;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;37;15;25;25;20;18;31;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;9;-5;-3;-10;11;-18;67;4;30
;;;;;;;;;
;-15;-20;-20;-20;40;-20;60;1;0
;;;;;;;;;
;-3;0;-5;-5;50;50;91;1;0
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-15;50;-10;-39;49;-18;51;5;0
;-38;19;22;33;-23;26;75;5;0
;;;;;;;;;
;;;;;;;;;
;-12;-8;-8;18;-8;-12;66;5;30
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-16;-11;-11;-5;45;-28;29;3;0
;-5;-8;-6;-6;50;0;46;0;30
1;;;;;;;;;
;;;;;;;;;
;-12;-6;-7;-9;50;-7;86;5;30
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-40;50;-25;-50;50;-35;55;3;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-5;-8;-8;-7;50;-7;60;3;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;-20;-9;-3;-5;37;-20;89;10;0
;-18;-23;-33;-21;44;-50;80;10;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-21;-11;-19;-34;20;-30;87;10;0
;;;;;;;;;
;23;19;22;18;11;19;72;20;0
1;;;;;;;;;
;-10;-9;-9;-9;19;-30;63;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-16;-2;-20;-26;32;-27;70;10;0
;;;;;;;;;
;-16;-14;-13;-17;35;-21;74;2;25
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;33;40;38;49;42;44;85;7;3
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;28;28;15;8;18;13;55;10;0
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;1;1;0;1;50;34;80;2;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-15;-9;-16;-24;35;-23;85;5;0
;;;;;;;;;
2;;;;;;;;;
;-35;-2;-14;-8;46;-17;83;5;0
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-50;-20;-31;-50;50;-50;71;5;0
1;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-39;-5;-22;-42;48;-48;75;2;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;